version,task,horizon_years,method,n,n_converters,auc,ci_lo,ci_hi,delta_vs_ridge_all,delta_ci_lo,delta_ci_hi,delta_p
combat,CN_to_MCI,3,contrastive_rank_kendall_basic_probe,78,13,0.6106508875739646,0.44411764705882356,0.7647106185469357,0.021997555899778132,-0.218434814563546,0.2378706575682382,0.8328
combat,CN_to_MCI,3,contrastive_rank_kendall_basic_s,78,13,0.5857988165680473,0.40826612903225806,0.7600701548735436,-0.003690724332965799,-0.23393834530853766,0.22541279233586894,0.9768
combat,CN_to_MCI,3,contrastive_rank_kendall_basic_finetune,78,13,0.5763313609467455,0.4042316540142627,0.7439728099120081,-0.010300690785125627,-0.25003019323671494,0.21270502645502648,0.9724
combat,CN_to_MCI,3,contrastive_hybrid_basic_probe,78,13,0.6035502958579881,0.4357115800865801,0.7652735965061058,0.01632846741823869,-0.11364019900061367,0.1515151515151515,0.8136
combat,CN_to_MCI,3,contrastive_hybrid_basic_s,78,13,0.6307692307692307,0.47824631211180124,0.7790277048319327,0.041971715084355515,-0.195773780823805,0.287581585081585,0.7356
combat,CN_to_MCI,3,contrastive_hybrid_basic_finetune,78,13,0.501775147928994,0.3161757223242078,0.6875612793624617,-0.0864876142192345,-0.29716951037522094,0.11020273297491012,0.4332
combat,CN_to_MCI,4,ridge_dhat_finetune,71,15,0.5702380952380952,0.4030374155311842,0.7276738454944819,0.011821908821359771,-0.09887005649717506,0.12142958030669884,0.8464
combat,CN_to_MCI,4,ridge_dhat_all,71,15,0.5583333333333333,0.3952254641909815,0.7146303489949435,,,,
combat,CN_to_MCI,4,direct_logistic,71,15,0.6178571428571429,0.4363395225464191,0.7857305194805192,0.06134646414746653,-0.21366477272727272,0.2991228329859793,0.618
combat,CN_to_MCI,4,contrastive_euclidean_probe,71,15,0.4154761904761905,0.25000000000000006,0.5955045782193648,-0.14158999436220943,-0.3320091093117409,0.0344837848932677,0.124
